Index,Bar,Type,Adresse,Code Postal,Quartier,Pays,Latitude,Longitude,Consommateur,Prix,Note,Commentaire AR,Commentaire VB
0,‘t Stopsel,,"Kuregemstraat, 18 1831 Diegem",1831,Diegem,Belgique,,,,,,,
1,1030 Café,,"Jan Stobbaertslaan, 100 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
2,123 rue Royale,,"Rue Royale, 123 1000 Bruxelles",1000,Bruxelles,Belgique,50.8518806,4.3652731,,,,,
3,13 Degrés,,"Place Jourdan, 49 1040 Etterbeek",1040,Etterbeek,Belgique,50.8370042,4.3810484,,,,,
4,36 Baronomie,,"Avenue de Woluwé Saint-Lambert, 36 1200 Woluwé-Saint-Lambert",1200,Woluwé-Saint-Lambert,Belgique,50.840163,4.4104976,,,,,
5,A l'Imaige Nostre-Dame,,"Rue du Marché aux Herbes, 3 1000 Bruxelles",1000,Bruxelles,Belgique,50.8481453,4.3519369,,,,,
6,À La Bécasse,,"Taborastraat, 11 1000 Bruxelles",1000,Bruxelles,Belgique,50.8481137,4.3514777,,,,,
7,À la Mort Subite,,Rue Mtgn Herbes Potagères 1000 Bruxelles,1000,Bruxelles,Belgique,,,,,,,
8,A.M. Sweet,,"Rue des Chartreux, 4 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
9,Affligem Café,,"Boulevard Anspach, 81 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
10,Ah Non peut-être,,"Rue de la Croix de Fer, 40 1000 Bruxelles",1000,Bruxelles,Belgique,50.8481958,4.3649681,,,,,
11,Alice Cocktail Bar,,"Avenue Louise, 190 1000 Bruxelles",1000,Bruxelles,Belgique,50.8278165,4.3639885,,,,,
12,Alice Restaurant & Cocktail Bar,,"Louizalaan, 190 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
13,Amalgame,,"Rue des Pierres, 45 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
14,Arion Cafe,,"Rue Dejoncker, 54 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
15,Arthur Orlans - Cocktails & Tailoring,,"Rue Antoine Dansaert, 67 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
16,Au Bassin,Bar,Quai aux Briques 1000 Bruxelles,1000,Bruxelles,Belgique,50.8525778,4.3473134,VB,2.0,5.0,,
17,Au Bois d’Ebène,,"Bd du Midi, 122 1000 Bruxelles",1000,Bruxelles,Belgique,50.8355453,4.3429289,,,,,
18,Au Brasseur,,"rue des Chapeliers, 9 1000 Bruxelles",1000,Bruxelles,Belgique,50.8459927,4.3526177,,,,,
19,Au Daringman,,"Rue de Flandre, 37 1000 Bruxelles",1000,Bruxelles,Belgique,50.8513898,4.3467304,,,,,
20,Au Soleil,,"Rue du Marché au Charbon, 86 1000 Bruxelles",1000,Bruxelles,Belgique,50.8460383,4.3484941,,,,,
21,AuBallon,Bar,"Pl. Saint-Denis, 1 1190 Forest",1190,Forest,Belgique,50.8095002,4.3157164,AR,2.0,2.0,,
22,Authentic gueuze,,"Rue Gheude, 56-58 1070 Anderlecht",1070,Anderlecht,Belgique,,,,,,,
23,B'artist Café,,"Rue du Châtelain, 17 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
24,Babel,,"Place de la Liberté, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8496096,4.3666799,,,,,
25,Banco Bar,,"Rue du Bailli, 79 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
26,Bar 77,,"Av. de la Couronne, 437 1050 Ixelles",1050,Ixelles,Belgique,50.8164151,4.3914668,VB,1.0,2.0,,"Festifs, étudiant mais rien de spécial"
27,Bar de la Victoire,,"Rue de la Victoire, 41 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,VB,,,,
28,Bar des Amis,Bar,"Rue Sainte-Catherine, 30 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
29,Bar du Gaspi,,"Chaussée de Haecht, 309 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
30,Bar du Marché,Bar à cocktails,"Rue Alphonse De Witte, 12 1050 Ixelles",1050,Ixelles,Belgique,,,VB,3.0,4.0,,
31,Bar Eliza,,Parc Elisabeth 1081 Koekelberg,1081,Koekelberg,Belgique,50.8654898,4.3276497,,,,,
32,Bar Magritte,,Vruntstraat 1000 Bruxelles,1000,Bruxelles,Belgique,50.8463849,4.3513964,,,,,
33,Bar Rouge,,"Rue de Louvain, 12 1000 Bruxelles",1000,Bruxelles,Belgique,50.8475855,4.3638255,,,,,
34,Barabar,,"Chau. de Waterloo, 862 1180 Uccle",1180,Uccle,Belgique,,,VB,,,,
35,BarBeton,,"Rue Antoine Dansaert, 114 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
36,Baroque Café,,"Rue du Marché au Charbon, 44 1000 Bruxelles",1000,Bruxelles,Belgique,50.8464015,4.3493472,,,,,
37,Barrio,,"Place de la Chapelle, 6 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
38,Barsey Restaurant & Lounge,,"Avenue Louise, 381 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
39,BBP Bailli,Bar,"Rue du Bailli, 1/A 1000 Bruxelles",1000,Bruxelles,Belgique,50.827098,4.3630837,VB,,,,
40,Beautiful People,,Beautiful People 1000 Bruxelles,1000,Bruxelles,Belgique,,,,,,,
41,Beer Capital Brussels,,"Bd Anspach, 89 1000 Bruxelles",1000,Bruxelles,Belgique,50.8460286,4.3472551,VB,,,,
42,Beerbar 1180,,"Rue Gabrielle, 37 1180 Uccle",1180,Uccle,Belgique,,,,,,,
43,Beers Bank,Bar,"Place Jourdan, 34 1040 Etterbeek",1040,Etterbeek,Belgique,50.8365665,4.3818685,ALL,2.0,4.0,,
44,Beerstorming,Brasserie,"Chaussée d'Alsemberg 75, 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,VB,2.0,4.0,,Microbrasserie sympatique
45,Belga Queen,,"Rue du Fossé aux Loups, 32 1000 Bruxelles",1000,Bruxelles,Belgique,50.8503331,4.3545921,,,,,
46,Belladone,,"Rue Moris, 17 A 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
47,Benelux,,"Petite rue des Bouchers, 6 1000 Bruxelles",1000,Bruxelles,Belgique,50.8476238,4.3532023,,,,,
48,Beurscafé,,Rue Auguste Orts 1000 Bruxelles,1000,Bruxelles,Belgique,50.8488224,4.3483235,,,,,
49,Bier Central Brussels,,"Bd Anspach, 37 1000 Bruxelles",1000,Bruxelles,Belgique,50.849698,4.3508082,VB,,,,
50,Bier Circus,,"Rue de l'Enseignement, 57 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
51,Bistro d’Ailleurs,,"Tomberg, 254 1200 Woluwe-Saint-Lambert",1200,Woluwe-Saint-Lambert,Belgique,50.8443546,4.420933,,,,,
52,Bonnefooi,Café concerts,"rue des Pierres, 8 1000 Bruxelles",1000,Bruxelles,Belgique,,,ALL,2.0,3.0,,
53,Booze’ N Blues,Bar,"Rue des Riches Claires, 20 1000 Bruxelles",1000,Bruxelles,Belgique,,,AR,2.0,4.0,Lieu flou,
54,Bota Café,,"Rue Royale, 236 1210 Saint-Josse-Ten-Noode",1210,Saint-Josse-Ten-Noode,Belgique,50.8535086,4.3660026,,,,,
55,Brasserie Cantillon,Brasserie,"Rue Gheude, 56 1070 Anderlecht",1070,Anderlecht,Belgique,50.8415748,4.3356154,,,,,
56,Brasserie CoHop,Brasserie,"Chau. de Wavre, 950 1040 Etterbeek",1040,Etterbeek,Belgique,,,VB,,,,
57,Brasserie de l'Ermitage,Brasserie,"Lambert Crickxstraat, 26 1070 Anderlecht",1070,Anderlecht,Belgique,,,,,,,
58,Brasserie de l'Union,Bar,Parvis Saint-Gilles 1060 Saint-Gilles,1060,Saint-Gilles,Belgique,50.8306508,4.3461448,ALL,2.0,3.0,Allez l'Union,
59,Brasserie de la Mule,Brasserie,"Rue Rubens, 95 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
60,Brasserie de La Senne,Brasserie,"Anna Bochdreef, 19-21 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
61,Brasserie des Alliés,Brasserie,"Rue des Châtaignes, 27 1190 Forest",1190,Forest,Belgique,,,AR,2.0,2.0,,
62,Brasserie Europa,,"Place Victor Horta, 16 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8366663,4.3344661,,,,,
63,Brasserie iLLeGaaL,Brasserie,"Rue Bollinckx, 300 1190 Forest",1190,Forest,Belgique,,,ALL,2.0,5.0,Merci Victor pour cette découverte,
64,Brasserie Le Central,,"Laneauplein, 1 1090 Jette",1090,Jette,Belgique,50.8771409,4.3264935,,,,,
65,Brasserie Ommegang,Bar,"Rue de la Montagne, 4 1000 Bruxelles",1000,Bruxelles,Belgique,50.8468254,4.3545476,VB,3.0,2.0,,Pour les touristes
66,Brasserie Restaurant Les Trappistes,,"Chaussée de Gand, 408 1080 Molenbeek-Saint-Jean",1080,Molenbeek-Saint-Jean,Belgique,50.8531963,4.3411221,,,,,
67,brasserie restaurant North express,,"Vooruitgangstraat, 80 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
68,Brasserie Surréaliste,Brasserie,"Nieuwe Graanmarkt, 23 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,2.0,5.0,,"Beaucoup de place, bonne bières"
69,Brasserie Verschueren,,"Parvis Saint-Gilles, 11 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8301641,4.3442389,,,,,
70,BrewDog,,"Putterie, 20 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
71,Broadway,,"Rue Artan, 54 1030 Schaerbeek",1030,Schaerbeek,Belgique,50.8555149,4.3839153,,,,,
72,Brusilia Tavern,,"Ave Louis Bertrand, 127 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
73,Bruxelles Beer Project,Brasserie,"Rue Antoine Dansaert, 188 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
74,C’est Ma Tournée,,"Rue du Lombard, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8457116,4.3505225,,,,,
75,Cabaret Mademoiselle,Cabaret,"Rue du Marché au Charbon, 53 1000 Bruxelles",1000,Bruxelles,Belgique,50.846285,4.3485758,ALL,2.0,5.0,,
76,Café Archipel,,Rue du Marché aux Poulets 1000 Bruxelles,1000,Bruxelles,Belgique,50.8486257,4.3510328,,,,,
77,Café Bastoche,,"Chau. de Boondael, 473 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
78,Cafe Bebo,,"Avenue de Stalingrad, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8423851,4.3457582,,,,,
79,Café Belga,Bar,"Place Eugène Flagey, 18 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,4.0,,"Meilleure terrasse d'Ixelles, face aux étangs. Très fréquenté"
80,Café Bizon,,"Rue du Pont de la Carpe, 7 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
81,Café Bocage,,"Place Maurice Van Meenen, 35 A 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8246043,4.3469955,,,,,
82,Café Bota,,"Rue Royale, 236 1210 Saint-Josse-ten-Noode",1210,Saint-Josse-ten-Noode,Belgique,50.8535086,4.3660026,,,,,
83,Café Caberdouche,,"Place de la Liberté, 8 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
84,Café Central,Café concerts,"Rue Borgval, 14 1000 Bruxelles",1000,Bruxelles,Belgique,,,AR,2.0,4.0,,
85,Cafe Charbon,,"Rue du Marché au Charbon, 99 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
86,Café Club,,"Rue de l'Aqueduc, 109 1050 Ixelles",1050,Ixelles,Belgique,50.8241082,4.3593726,VB,,,,
87,Café de la Presse,,"Avenue Louise, 493 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
88,Café Delune,,"Kartuizersstraat, 7 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
89,Café Des Halles Saint-Géry,Halles,"Pl. Saint-Géry, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8478214,4.3473907,ALL,2.0,4.0,Lieu sympa et bien placé,Lieu festif et central. Dj set certains week end
90,Café Des Minimes,Horeca,"Minimenstraat, 60 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
91,Café du Sablon,,"Rue de la Régence, 26 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
92,Café Excelsior Jette,,"Rue de l'Eglise St-Pierre, 8-10 1090 Jette",1090,Jette,Belgique,,,,,,,
93,Café Flora,,"Sint-Gillisvoorplein, 16A 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
94,Café Floréo,,"Rue des Riches Claires, 19 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
95,Café Joyeux: professional meeting space included !,,"Vootstraat, 32 1200 Woluwe-Saint-Lambert",1200,Woluwe-Saint-Lambert,Belgique,,,,,,,
96,Café Jupiter,,"Rue des Fabriques, 72 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
97,Café La Biche,,"Pl. Maurice van Meenen, 1 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8247256,4.3464698,,,,,
98,Café La Brocante,,"Rue Blaes, 170 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
99,Café La Pompe,Bar,"Chau. de Waterloo, 211 1060 Bruxelles",1060,Bruxelles,Belgique,,,ALL,2.0,4.0,ça démarre fort,
100,Café le Cirio,,"Beursstraat, 18 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
101,Café Le Coq,Bar,"Rue Auguste Orts, 14 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
102,Café Luxembourg,Bar,"Place du Luxembourg, 10 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,3.0,,"Bar de Plux, rien de fou"
103,Café Maison du Peuple,,"Parvis Saint-Gilles, 39 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
104,Café Merlo,,"Quai aux Briques, 80 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
105,Café Novo,,"P d Vieille Halle aux Blés, 37 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
106,Café Pastel,,"Rue de Rollebeek, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8419042,4.3531138,,,,,
107,Café Roskam,,"Rue de Flandre, 9 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
108,Café Tulipant,Bar,"Place Fernand Cocq, 25 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,4.0,,
109,Café Walvis,,"Antoine Dansaertstraat, 209 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
110,Caffe Al Dente,,"Rue du Doyenné, 85 1180 Uccle",1180,Uccle,Belgique,,,,,,,
111,Cartagena Salsa Bar,,"Rue du Marché au Charbon, 70 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
112,Casa Sablon,,"Rue Sainte-Anne, 38 1000 Bruxelles",1000,Bruxelles,Belgique,50.8412127,4.3554079,,,,,
113,CASCO,Bar,"Rue de la Bourse, 42 1000 Bruxelles",1000,Bruxelles,Belgique,50.8480366,4.3509628,VB,,,,
114,Castro Bar,,"Rue du Marché au Charbon, 93 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
115,Cave du Roy,,"Grand Place, 14 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
116,Celtica,,"Rue du Marché aux Poulets, 55 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
117,Cha Man,,"Parvis de Saint-Gilles, 49 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
118,Chaff,,"Place du Jeu de Balle, 21 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
119,Chapeau blanc - Dancing resto & meetings,,"Wayezstraat, 200 1070 Anderlecht",1070,Anderlecht,Belgique,,,,,,,
120,Château Moderne,Bar,"Kunstberg, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8442412,4.3575561,VB,,,,
121,Chemistry & Botanic’s,,"Place de la Vieille Halle aux Blés, 49 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
122,Cherry Bar Club,,"Rue de la fourche, 21 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
123,Chez Adrien,,"Rue Jourdan, 133 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
124,Chez Bobonne,,"Quai aux Barques, 4 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
125,Chez Emile - Guinguettes Barc,Guinguette,Parc Duden 1190 Forest,1190,Forest,Belgique,,,AR,2.0,4.0,"Belle vue, beau cadre (seulement en été)",
126,Chez Felix,,"Avenue Félix Marchal, 142 1030 Schaerbeek",1030,Schaerbeek,Belgique,50.850314,4.3934061,,,,,
127,Chez Franz,,"Hoge-Bruggelaan, 30 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
128,Chez Leo,,"Rue de la Cuve, 2 1050 Ixelles",1050,Ixelles,Belgique,50.8271516,4.3750435,VB,,,,
129,Chez Lutgarde,Bar,"Rue du Rem des Moines, 3 1000 Bruxelles",1000,Bruxelles,Belgique,50.8526352,4.3452151,VB,2.0,4.0,,
130,Chez Maman,,"Lievevrouwbroersstraat, 7 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
131,Chez Maria & Artur,,"Av. des Anciens Combattants, 350 1140 Evere",1140,Evere,Belgique,50.8617159,4.4121301,VB,,,,
132,Chez Mon Ex,,"Rue de Roumanie, 2 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8279868,4.350838,,,,,
133,Chez Nina,,"Chau. de Boondael, 93 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
